BT,JT,RM,TN,MS,Question_name,Question_content,Entities,NERs
1,0,0,0,0,1 EN word - permutations,Greece,,
1,0,0,0,0, 1 En word - synonyms,fight,,
1,0,0,0,0,1 english phrase,leniencies while fighting a war,,
1,0,0,0,0,opposites (negative),not taking spoils of war,,
1,0,0,0,0,opposites (positive),spoils of war,,
1,0,0,0,0,"english phrase, excluding something","languages with special status, other than hebrew",,
1,0,0,0,0,comparing (symbolism),the jewish people being compared to a dove,,
1,0,0,0,0,"same terms, order1","perfume, money, shabbat",,
1,0,0,0,0,"same terms, order2","shabbat, perfume, money",,
1,0,0,0,0,"same terms, order3","money, shabbat, perfume",,
1,0,0,0,0,,,,
1,0,0,0,0,,,,
1,0,0,0,0,,,,
1,0,0,0,0,,,,
,,,,,,,,
